"premise","hypothesis","label"
"Preciso do meu informe de rendimentos para declarar o imposto de renda.","O cliente precisa do informe de rendimentos.","entailment"
"Gostaria de mais informações sobre o investimento em criptomoedas.","O cliente quer informações sobre criptomoedas.","entailment"
"Recebi uma notificação sobre um produto.","O cliente recebeu uma notificação.","neutral"
"O valor da minha fatura de cartão de crédito está alto.","O cliente tem uma fatura alta.","entailment"
"Quero um relatório de gastos detalhado de todos os meus cartões.","O cliente quer um relatório de gastos de cartões.","entailment"
"Não consigo fazer login no site do banco.","O cliente tem dificuldade para fazer login no site.","entailment"
"Minha senha foi alterada sem meu consentimento.","O cliente teve a senha alterada sem consentimento.","entailment"
"Acho que fui vítima de um golpe do PIX.","O cliente foi vítima de golpe.","entailment"
"O juros da minha conta-salário é muito alto.","O cliente tem juros altos na conta-salário.","entailment"
"Minha conta bancária foi invadida.","O cliente tem a conta invadida.","entailment"
"Preciso de um novo empréstimo para comprar um carro.","O cliente quer um empréstimo para um carro.","entailment"
"Tive um problema com o meu banco.","O cliente tem um problema com o banco.","neutral"
"Estou com dificuldades para pagar minha fatura do cartão.","O cliente tem dificuldade para pagar a fatura.","entailment"
"Preciso fazer um depósito grande na minha conta.","O cliente precisa fazer um depósito.","entailment"
"O aplicativo do banco não está funcionando.","O cliente tem um problema com o aplicativo.","entailment"
"Não consigo transferir o dinheiro que recebi de volta para minha conta.","O cliente tem um problema para transferir dinheiro.","entailment"
"O valor que paguei em uma compra não foi debitado da minha conta.","O cliente tem um problema com o débito de uma compra.","entailment"
"Apareceu uma cobrança desconhecida na minha fatura.","O cliente tem uma cobrança desconhecida.","entailment"
"Eu tenho um problema com o serviço de PIX.","O cliente tem um problema com o PIX.","entailment"
"Estou com problema para acessar o aplicativo.","O cliente tem um problema de acesso.","entailment"
"Recebi um email sobre um novo serviço.","O cliente está interessado em um novo serviço.","entailment"
"Eu não consigo ver meu histórico de transações.","O cliente não consegue ver o histórico de transações.","entailment"
"Gostaria de saber sobre as opções de financiamento imobiliário.","O cliente quer saber sobre financiamento imobiliário.","entailment"
"Minha senha do cartão de crédito não está funcionando.","O cliente tem um problema com a senha do cartão.","entailment"
"A conta foi fechada e preciso de ajuda para saber o que fazer.","O cliente tem a conta fechada.","entailment"
"Não consigo fazer uma compra online.","O cliente tem problema para fazer uma compra online.","entailment"
"O site do banco está fora do ar.","O cliente tem um problema com o site.","entailment"
"O extrato de minha conta está errado.","O cliente tem o extrato errado.","entailment"
"Preciso cancelar uma transferência que fiz hoje.","O cliente quer cancelar uma transferência.","entailment"
"Apareceu uma cobrança que eu não reconheço.","O cliente não reconhece uma cobrança.","entailment"
"O valor de uma compra foi debitado duas vezes.","O cliente teve uma cobrança duplicada.","entailment"
"Não consigo visualizar o meu saldo no aplicativo.","O cliente não consegue ver o saldo.","entailment"
"Gostaria de solicitar um empréstimo.","O cliente quer um empréstimo.","entailment"
"Estou com problemas para acessar o internet banking.","O cliente tem problemas com o internet banking.","entailment"
"Recebi uma notificação sobre um novo produto.","O cliente recebeu uma notificação sobre um novo produto.","entailment"
"Quero saber se o banco oferece algum tipo de investimento.","O cliente quer saber sobre investimentos.","entailment"
"A fatura do meu cartão de crédito não chegou.","O cliente não recebeu a fatura.","entailment"
"Quero mais informações sobre o seguro do meu carro.","O cliente quer informações sobre o seguro do carro.","entailment"
"A minha conta-poupança está com problema.","O cliente tem um problema na conta-poupança.","entailment"
"A minha conta-corrente foi invadida.","O cliente tem a conta-corrente invadida.","entailment"
"A fatura do meu cartão de crédito está errada.","O cliente tem a fatura errada.","entailment"
"Preciso do meu comprovante de rendimentos.","O cliente precisa do comprovante de rendimentos.","entailment"
"Gostaria de cancelar um débito automático.","O cliente quer cancelar um débito automático.","entailment"
"Não consigo fazer um pagamento de boleto.","O cliente tem problema para pagar um boleto.","entailment"
"A minha transferência foi para a conta errada.","O cliente fez uma transferência para a conta errada.","entailment"
"Estou com um problema no meu cartão de crédito.","O cliente tem um problema com o cartão de crédito.","entailment"
"Gostaria de parabenizar a equipe de atendimento pelo excelente serviço que recebi hoje! Fui muito bem atendido e o meu problema foi resolvido rapidamente.","O cliente está elogiando o atendimento.","entailment"
"Feliz Natal a todos! Que o ano novo seja próspero para a empresa e para todos os colaboradores.","O cliente está desejando um feliz natal.","entailment"
"Muito obrigado pela ajuda que me deram com a minha conta. O suporte foi ágil e muito eficiente.","O cliente está agradecendo pelo suporte.","entailment"
"Olá, venho por meio deste e-mail agradecer a paciência e a competência do seu funcionário, que me ajudou a resolver um problema complexo.","O cliente está agradecendo a ajuda de um funcionário.","entailment"
"Meus parabéns pelo aniversário de 10 anos da empresa! É um marco muito importante e mostra a dedicação de todos.","O cliente está parabenizando a empresa pelo aniversário.","entailment"
"Feliz Ano Novo! Que 2024 seja repleto de sucesso e boas oportunidades para a nossa parceria.","O cliente está desejando um feliz ano novo.","entailment"
"Quero expressar minha satisfação com os serviços. A plataforma de investimentos de vocês é a melhor do mercado.","O cliente está elogiando a plataforma.","entailment"
"Obrigado por me ajudarem a entender os juros do meu cartão. A explicação foi clara e muito útil.","O cliente está agradecendo pela explicação.","entailment"
"Parabéns pelo novo aplicativo! A interface ficou muito mais intuitiva e fácil de usar.","O cliente está parabenizando pelo novo aplicativo.","entailment"
"Que a Páscoa de vocês seja cheia de paz e alegria. Um abraço a toda a equipe.","O cliente está desejando uma feliz páscoa.","entailment"
"Obrigado pelo suporte, conseguiram me ajudar a resolver meu problema de acesso em menos de 5 minutos.","O cliente está agradecendo a rapidez do suporte.","entailment"
"Gostaria de parabenizar a iniciativa de vocês em oferecer uma linha de crédito sustentável. É um grande passo.","O cliente está parabenizando uma iniciativa sustentável.","entailment"
"Agradeço a transparência do banco em todas as minhas transações. É muito bom ter essa confiança.","O cliente está agradecendo a transparência do banco.","entailment"
"Parabéns pelo sucesso da empresa! O crescimento de vocês é inspirador.","O cliente está parabenizando pelo sucesso da empresa.","entailment"
"Feliz Dia das Mães para todas as mães da equipe!","O cliente está desejando um feliz dia das mães.","entailment"
"Obrigado pela dedicação em resolver meu problema. Sem a ajuda de vocês, eu não teria conseguido.","O cliente está agradecendo a dedicação.","entailment"
"Parabéns pelo serviço prestado. Sou cliente há anos e sempre estou satisfeito.","O cliente está satisfeito com o serviço.","entailment"
"Feliz feriado prolongado para todos! Aproveitem o descanso.","O cliente está desejando um bom feriado.","entailment"
"Quero agradecer a consultora que me atendeu, ela foi extremamente atenciosa e profissional.","O cliente está agradecendo uma consultora.","entailment"
"Parabéns pela plataforma de investimentos. É muito completa.","O cliente está elogiando a plataforma de investimentos.","entailment"
"Agradeço a rapidez na resposta do meu e-mail.","O cliente está agradecendo a rapidez na resposta.","entailment"
"Parabéns por mais um ano de sucesso. Vocês são um exemplo para o mercado.","O cliente está parabenizando a empresa.","entailment"
"Feliz Dia dos Pais a todos os pais da equipe!","O cliente está desejando um feliz dia dos pais.","entailment"
"Obrigado pela ajuda com meu acesso.","O cliente está agradecendo a ajuda com o acesso.","entailment"
"Parabéns pela nova campanha publicitária. Ficou muito criativa.","O cliente está elogiando uma campanha publicitária.","entailment"
"Agradeço a oferta que me enviaram.","O cliente está agradecendo uma oferta.","entailment"
"Feliz Aniversário para a empresa!","O cliente está parabenizando a empresa pelo aniversário.","entailment"
"Obrigado pela oportunidade de ser cliente.","O cliente está agradecendo a oportunidade de ser cliente.","entailment"
"Parabéns pela nova linha de produtos.","O cliente está parabenizando uma nova linha de produtos.","entailment"
"Agradeço a confiança que vocês depositam em mim como cliente.","O cliente está agradecendo a confiança.","entailment"
"Feliz Páscoa a todos! Que o dia seja abençoado.","O cliente está desejando feliz páscoa.","entailment"
"Obrigado pelo ótimo atendimento.","O cliente está agradecendo o atendimento.","entailment"
"Parabéns pelo excelente trabalho.","O cliente está elogiando o trabalho.","entailment"
"Feliz ano novo! Tudo de bom para a equipe.","O cliente está desejando um feliz ano novo.","entailment"
"Agradeço a rapidez em resolver meu problema.","O cliente está agradecendo a rapidez.","entailment"
"Parabéns pelo novo design do site.","O cliente está elogiando o novo design do site.","entailment"
"Obrigado pela ajuda.","O cliente está agradecendo a ajuda.","entailment"
"Feliz Natal a todos!","O cliente está desejando um feliz natal.","entailment"
"Parabéns pelo sucesso.","O cliente está parabenizando o sucesso.","entailment"
"Agradeço o apoio.","O cliente está agradecendo o apoio.","entailment"
"Feliz Dia da Mulher a todas as colaboradoras!","O cliente está desejando feliz dia da mulher.","entailment"
"Obrigado pela atenção.","O cliente está agradecendo a atenção.","entailment"
"Parabéns pela qualidade dos serviços.","O cliente está elogiando a qualidade dos serviços.","entailment"
"Feliz Dia dos Namorados!","O cliente está desejando feliz dia dos namorados.","entailment"
"Agradeço o retorno.","O cliente está agradecendo o retorno.","entailment"
"Parabéns pela nova funcionalidade.","O cliente está parabenizando uma nova funcionalidade.","entailment"
"Obrigado por existirem.","O cliente está agradecendo a existência da empresa.","entailment"
"Feliz Carnaval!","O cliente está desejando feliz carnaval.","entailment"
"Agradeço a paciência.","O cliente está agradecendo a paciência.","entailment"
"Parabéns pela inovação.","O cliente está parabenizando a inovação.","entailment"
"Obrigado por tudo.","O cliente está agradecendo por tudo.","entailment"
"Feliz Dia das Crianças!","O cliente está desejando feliz dia das crianças.","entailment"
"Agradeço a parceria.","O cliente está agradecendo a parceria.","entailment"
"Parabéns pela liderança no mercado.","O cliente está elogiando a liderança no mercado.","entailment"
"Obrigado pela dedicação.","O cliente está agradecendo a dedicação.","entailment"
"Feliz aniversário!","O cliente está desejando feliz aniversário.","entailment"
"Agradeço o feedback.","O cliente está agradecendo o feedback.","entailment"
"Parabéns pelo crescimento.","O cliente está parabenizando o crescimento.","entailment"
"Obrigado pela confiança.","O cliente está agradecendo a confiança.","entailment"
"Feliz Páscoa!","O cliente está desejando feliz páscoa.","entailment"
"Agradeço a colaboração.","O cliente está agradecendo a colaboração.","entailment"
"Parabéns por serem os melhores.","O cliente está elogiando o banco como o melhor.","entailment"
"Obrigado pela ajuda.","O cliente está agradecendo a ajuda.","entailment"
"Feliz 7 de Setembro!","O cliente está desejando feliz 7 de setembro.","entailment"
"Agradeço a atenção.","O cliente está agradecendo a atenção.","entailment"
"Parabéns pelo excelente suporte.","O cliente está elogiando o suporte.","entailment"
"Obrigado por me ajudarem.","O cliente está agradecendo a ajuda.","entailment"
"Feliz 1º de Maio!","O cliente está desejando feliz 1º de maio.","entailment"
"Agradeço a solução.","O cliente está agradecendo a solução.","entailment"
"Parabéns pela sua carreira.","O cliente está parabenizando a carreira.","neutral"
"Obrigado pela informação.","O cliente está agradecendo a informação.","entailment"
"Feliz Dia da Independência!","O cliente está desejando feliz dia da independência.","entailment"
"Agradeço o serviço.","O cliente está agradecendo o serviço.","entailment"
"Parabéns pela conquista.","O cliente está parabenizando uma conquista.","entailment"
"Obrigado pelo seu tempo.","O cliente está agradecendo o tempo.","entailment"
"Feliz Dia de Ação de Graças!","O cliente está desejando feliz dia de ação de graças.","entailment"
"Agradeço a oportunidade.","O cliente está agradecendo a oportunidade.","entailment"
"Parabéns pelo desempenho.","O cliente está elogiando o desempenho.","entailment"
"Obrigado por sua dedicação.","O cliente está agradecendo a dedicação.","entailment"
"Feliz Dia do Professor!","O cliente está desejando feliz dia do professor.","entailment"
"Agradeço a sua ajuda.","O cliente está agradecendo a ajuda.","entailment"
"Parabéns por sua dedicação.","O cliente está parabenizando a dedicação.","entailment"
"Obrigado pelo seu profissionalismo.","O cliente está agradecendo o profissionalismo.","entailment"
"Feliz Dia do Amigo!","O cliente está desejando feliz dia do amigo.","entailment"
"Agradeço por sua atenção.","O cliente está agradecendo a atenção.","entailment"
"Parabéns por sua resiliência.","O cliente está elogiando a resiliência.","entailment"
"Obrigado por seu serviço.","O cliente está agradecendo o serviço.","entailment"
"Feliz Natal para a família de vocês.","O cliente está desejando feliz natal para a família.","entailment"
"Agradeço por sua competência.","O cliente está agradecendo a competência.","entailment"
"Parabéns por sua criatividade.","O cliente está elogiando a criatividade.","entailment"
"Obrigado por seu tempo.","O cliente está agradecendo o tempo.","entailment"
"Feliz Dia do Trabalho!","O cliente está desejando feliz dia do trabalho.","entailment"
"Agradeço por sua ajuda.","O cliente está agradecendo a ajuda.","entailment"
"Parabéns por sua honestidade.","O cliente está elogiando a honestidade.","entailment"
"Obrigado por sua lealdade.","O cliente está agradecendo a lealdade.","entailment"
"Feliz Dia da Criança!","O cliente está desejando feliz dia da criança.","entailment"
"Agradeço por sua eficiência.","O cliente está agradecendo a eficiência.","entailment"
"Parabéns por seu sucesso.","O cliente está parabenizando o sucesso.","entailment"
"Obrigado por sua paciência.","O cliente está agradecendo a paciência.","entailment"
"Feliz Dia dos Avós!","O cliente está desejando feliz dia dos avós.","entailment"
"Agradeço por sua colaboração.","O cliente está agradecendo a colaboração.","entailment"
"Parabéns por sua determinação.","O cliente está elogiando a determinação.","entailment"
"Obrigado por sua atenção.","O cliente está agradecendo a atenção.","entailment"
"Feliz Dia dos Namorados!","O cliente está desejando feliz dia dos namorados.","entailment"
"Agradeço a sua atenção.","O cliente está agradecendo a atenção.","entailment"
